Transaction Number,Customer ID,AgentID,Partner,Agent Start Date,Primary Skill,Saves,Sales,Time Spent on Call (Seconds),Expected Life Time Value 
1246,91123,457896,Partner C,9/20/19,Saves,1,0,272,201
918,90795,3000,Partner C,9/20/19,Service,1,1,25,367
1271,91148,457896,Partner C,9/20/19,Saves,1,0,259,128
915,90792,3000,Partner C,9/20/19,Service,1,0,54,399
1268,91145,457896,Partner C,9/20/19,Saves,1,0,228,136
1239,91116,457896,Partner C,9/20/19,Saves,1,0,435,138
922,90799,3000,Partner C,9/20/19,Service,1,1,96,264
1288,91165,457896,Partner C,9/20/19,Saves,1,0,560,162
947,90824,3000,Partner C,9/20/19,Service,1,0,214,416
948,90825,3000,Partner C,9/20/19,Service,1,1,215,213
1264,91141,457896,Partner C,9/20/19,Saves,1,1,50,173
1294,91171,457896,Partner C,9/20/19,Saves,1,1,653,176
1244,91121,457896,Partner C,9/20/19,Saves,1,1,359,179
1280,91157,457896,Partner C,9/20/19,Saves,1,1,459,183
1235,91112,457896,Partner C,9/20/19,Saves,0,1,243,342
1247,91124,457896,Partner C,9/20/19,Saves,0,0,219,0
951,90828,3000,Partner C,9/20/19,Service,1,1,247,417
1289,91166,457896,Partner C,9/20/19,Saves,0,1,501,333
938,90815,3000,Partner C,9/20/19,Service,1,0,163,399
1266,91143,457896,Partner C,9/20/19,Saves,0,1,483,414
1260,91137,457896,Partner C,9/20/19,Saves,0,0,197,350
1274,91151,457896,Partner C,9/20/19,Saves,1,0,126,203
1256,91133,457896,Partner C,9/20/19,Saves,1,0,258,206
1248,91125,457896,Partner C,9/20/19,Saves,1,1,700,208
1249,91126,457896,Partner C,9/20/19,Saves,1,0,32,219
1285,91162,457896,Partner C,9/20/19,Saves,0,0,205,0
953,90830,3000,Partner C,9/20/19,Service,1,1,201,255
1296,91173,457896,Partner C,9/20/19,Saves,0,0,301,0
1291,91168,457896,Partner C,9/20/19,Saves,0,0,698,0
1238,91115,457896,Partner C,9/20/19,Saves,1,1,578,233
1257,91134,457896,Partner C,9/20/19,Saves,1,0,506,235
925,90802,3000,Partner C,9/20/19,Service,1,0,240,434
1250,91127,457896,Partner C,9/20/19,Saves,0,0,102,0
1237,91114,457896,Partner C,9/20/19,Saves,1,1,490,257
933,90810,3000,Partner C,9/20/19,Service,1,0,272,365
1254,91131,457896,Partner C,9/20/19,Saves,1,1,275,260
1272,91149,457896,Partner C,9/20/19,Saves,0,1,122,319
1277,91154,457896,Partner C,9/20/19,Saves,0,1,217,313
1300,91177,457896,Partner C,9/20/19,Saves,0,0,642,0
912,90789,3000,Partner C,9/20/19,Service,1,0,296,440
1293,91170,457896,Partner C,9/20/19,Saves,1,0,533,285
1243,91120,457896,Partner C,9/20/19,Saves,1,1,143,287
1241,91118,457896,Partner C,9/20/19,Saves,1,0,173,294
1283,91160,457896,Partner C,9/20/19,Saves,0,0,519,0
1299,91176,457896,Partner C,9/20/19,Saves,0,1,426,276
1234,91111,457896,Partner C,9/20/19,Saves,0,0,35,0
1292,91169,457896,Partner C,9/20/19,Saves,1,0,110,297
913,90790,3000,Partner C,9/20/19,Service,1,0,310,254
936,90813,3000,Partner C,9/20/19,Service,1,0,310,434
1265,91142,457896,Partner C,9/20/19,Saves,0,0,7,0
1284,91161,457896,Partner C,9/20/19,Saves,1,1,398,306
1261,91138,457896,Partner C,9/20/19,Saves,1,1,586,308
1262,91139,457896,Partner C,9/20/19,Saves,1,1,225,311
1242,91119,457896,Partner C,9/20/19,Saves,1,0,331,322
1245,91122,457896,Partner C,9/20/19,Saves,1,0,86,328
1240,91117,457896,Partner C,9/20/19,Saves,1,1,641,329
